index,time,chainId,txhash,gasUsed,gasPrice,ethPrice,batchSize
3453,1704907314.779,1,0xc305fcff8ff4c50c47a986a272113f9c3664ce58ec21dc534932037dd642706d,347704,16455712494,1.000,1
3454,1704907315.694,1,0xf8b766617abb42337adc54f67e9f87944f9ceea0dc3d9d38de92fe69ed3a388f,483393,50104379629,1.000,2
3455,1704907316.604,1,0x5adb6bbfa489278820d3b3f8991e6ef177015541a63eb1b317be144ea1d1d3ec,340796,21390420187,1.000,1
3456,1704907317.526,1,0xe0d903fee84eb6f0590014830d528a483ff754dc360e9dfd317af1a5e2abfa03,456065,24901601085,1.000,2
3457,1704907318.2,1,0xda573e962b0ed75f40408409288b97ee76e641782ce4f67aaf307871b57d4b45,347680,33070756519,1.000,1
3458,1704907319.099,1,0x32a63c6c4036e26563254d7db1856996d690ce727053ffeaa8f211dfdcc9bbc7,323809,32151926840,1.000,1
3459,1704907319.792,1,0x58c93293c13ee5561a35f28aa8cec0c49bd8383fa40c6595cf7fca3fcd61a3a4,323773,13542788959,1.000,1
3460,1704907320.471,1,0x049b129adcf4141809508993b9533ecdc8019a69b33d298302056da23f5650f9,579007,13306944585,1.000,3
3461,1704907321.178,1,0xc8f2e026cc5fec666e64fb17ccf91ace20b42c2d32e2b4085ffdda2aac81da8d,668536,29278046137,1.000,4
3462,1704907321.888,1,0x0ea92356a345e2324d8ab19ea0c80d0312e8a0b9d7f39067576f7c6ce43ebda9,1366050,7461900207,1.000,10
3463,1704907322.955,1,0xbcb35bb874428528c120504fb427e118ae199b727a9ec419eade0f5e1e91c3b0,1232705,6887655083,1.000,9
3464,1704907323.653,1,0x9b28999a84a2f30c5fa3355d9c8337891a7eb4db247b505bf3f2a97670df7ed9,347704,13838276243,1.000,1
3465,1704907324.337,1,0xa6a2498cec441e2f38665d4225a6210503226d496b1be0d2c90bdff747c5eb40,347644,55678761940,1.000,1
3466,1704907325.07,1,0x6754937cf13dfc1fe287665ccda7f405af255f6877fb6414ce405b277713d375,355989,22791200773,1.000,1
3467,1704907325.99,1,0x6ef8c389f88e5bac75e89cf9bef99c440567a9cf653beb32dde52643afb7591b,391356,44380223682,1.000,1
3468,1704907326.681,1,0x0445db60a8d3f2031149081991054c14f7ee9acb3d6a76466cd4b678744704c1,464238,38492092556,1.000,2
3469,1704907327.38,1,0x5cb521b58478694def35eeadf4b01742fdbc74e353e5afbb9a2ba3599b2330e3,347692,50995969950,1.000,1
3470,1704907328.054,1,0xe376fd6071d16f9d94d742590835508bd9bdcaaf2f318a13d34406a6603f02d4,347584,25380599449,1.000,1
3471,1704907328.991,1,0xc97d9a8ce55878303240ed7a6472f9a54bf2232dc52eb874f440d4a3e966e5ea,340832,27835659055,1.000,1
3472,1704907329.685,1,0xc58c9b237a4e428dfd31e57b6adf56ce493e268d65e2fc60c2dfc728398520a0,1218218,15235932174,1.000,9
3473,1704907330.39,1,0x5603a9117e33ec4d5f0462216c0d08319d0c5191f4cc1a32b08bbee00e054b66,456413,7034241013,1.000,2
3474,1704907331.087,1,0x93e0009af6f5f5bf858740473470afa00bdea801b8376aa201d9a8d9aa400d6f,347608,54524871428,1.000,1
3475,1704907331.786,1,0x6704c9d5c1b633a1074ffbd2e69f99c8b39cfc7346fd086b8592e58293b7ca70,349489,15588421466,1.000,1
3476,1704907332.701,1,0xf8ad934b8c98728e58617981ca8b479a70b4183e5d8b8b69eb943e5513332940,323737,8140185732,1.000,1
3477,1704907333.702,1,0xbb6e04d5fb11d83e835ebf51cc5d65326e2786d400e5fe05c767a1bf25150369,456281,43011707167,1.000,2
3478,1704907334.401,1,0x29b3ea82981bdc7db60d5389382b7b794c5a34f81574cfb52baadacabae00063,437246,23431223304,1.000,2
3479,1704907335.198,1,0x21bc6c0370f492c902ef166acac235e03038bc0bd5cafd2a43d687ea85644bc0,323809,7870774383,1.000,1
3480,1704907336.114,1,0x1700b78e8fcecd8fc61ee4f618a7a194f4ad7f13f909456c39b4e00547ed8bf3,340772,19184757501,1.000,1
3481,1704907336.82,1,0x8addca4603f6bb565e7f7d54ab64638eacb3cf8c8ebe1da1b7093d600d5b53ce,347858,8952056790,1.000,1
3482,1704907337.514,1,0xc0295ccbe8738ed4ebf94d530a5fdb9e738ffa49ecd96cd94d3d77acf321a651,323797,33029365157,1.000,1
3483,1704907338.213,1,0xbe6946bddb72c8b3e5c4e1fdcb3d6af0a0a3f63b96c2c1b128879998bf92e7b5,347644,34722444116,1.000,1
3484,1704907339.118,1,0x87aae22e0045e69e5d6da4bcdea4bdc4fd425b283d8c81c03478419a1e6f5907,573835,13149881826,1.000,3
3485,1704907339.836,1,0x257b86199924eef632a54fcb591daf86af09513002477a2f9196c0b69419926f,477268,13212372563,1.000,2
3486,1704907340.752,1,0x0f10fb267e6c9f01b407942d6cc04df2f1e3d623ff335d036c0a8de3ced809c8,323761,28302603852,1.000,1
3487,1704907341.458,1,0xe2a9adb57fa75ba1400c9a0d8661e04bb05fd4ec48c18b640192f27319f78253,349501,67093076083,1.000,1
3488,1704907342.377,1,0x9cb359e63445e04a1599e20657219a37d0ae4dbd1e27f6077ad5503fec3e50aa,465569,6295300989,1.000,2
3489,1704907343.204,1,0x3bcc96bc75a04728fe970f8e6a52e1a1784c773bbea37ef0fdb976787ecb9947,1095798,76049077852,1.000,8
3490,1704907343.901,1,0xc438047095857787d7e028ef97e757bf1c01f5617feecc2e834c73e9b8c06dfb,347644,43994591237,1.000,1
3491,1704907344.828,1,0xb6ada5854510f7a432fbe30d8942606d517c85e076fd107d82f3a40812d68a95,455022,23048532456,1.000,2
3492,1704907345.539,1,0x2a48db47676d25a86b8c1a1456fb6594445d1ac433785f8eac3504f8aaf14ab2,323851,15828941701,1.000,1
3493,1704907346.231,1,0x5b794efe1ed02c96e3933fd76998286d8d3176077764f660a8d34e2cb591fa91,910464,15731337925,1.000,6
3494,1704907346.909,1,0x705fee3743fd9fb4f7010dc6d86edea708a931797703224071aa7d9f6779f044,340760,20894877016,1.000,1
3495,1704907347.615,1,0x78892d45b94438d6ccbb84312e3cf669ae27c192418d18d9ee4e275ea5ad81ea,555358,35072503105,1.000,3
3496,1704907348.328,1,0x340bc0be0965ba8d6ce9ccce05d90b13db1239116b0265ab075944582635adb2,340808,43794594698,1.000,1
3497,1704907349.017,1,0x59b2cb8bad0ac45e2812f683b70e183fadcde5cc1750679e957111a85ca491d8,347854,11665324185,1.000,1
3498,1704907349.715,1,0xd1532db868477cd52bb8aa5e2342286f243cf2d2f254650184d3f61337025478,668992,7947172296,1.000,4
3499,1704907350.401,1,0x86b9b0ea2f2f663af012161682deed9be99ed701e1cc30015c79eaa1da374437,323923,33182670956,1.000,1
3500,1704907351.326,1,0x9ffff8299791490f89f37ad1a882479d2d27511d2a35bd6b7a0acbceb9c1ec97,413725,18181829146,1.000,2
3501,1704907352.016,1,0x1e15a40122966a98b5751738a1ef0e0cdb7654c87f48b9d599ff3cc10940ea40,349453,19029352776,1.000,1
3502,1704907352.962,1,0xac9fa306973148501d0395e612e0479f3e931edf57df196f08bfd90ab6f9c9ce,569371,27691247755,1.000,3
3503,1704907353.665,1,0x6f1126390ceb5a731bd664c50dfd12fb10be64b6bab6d8075706a8d551835e71,347842,37144425637,1.000,1
3504,1704907354.592,1,0x0e0baea9df55836cd73f10697d5f55749b370ff4084e7f67d4f75f3c9cbb3520,347842,14335594036,1.000,1
3505,1704907355.322,1,0xe9338501f34eaa4fb81a3b894c5a2a6e9c9d62c2d66d87afff91b14da2f5f193,347414,16781298599,1.000,1
3506,1704907356.008,1,0x304ca8932863fb63729ab5da3b0396757f84bcb2ee64623d79e66a03e7514762,347620,14606448318,1.000,1
3507,1704907356.93,1,0x071bec1b086eda284f700a1bebbb9ed4072c4590cc6cf26e28b4ac57388215e5,323809,40588225334,1.000,1
3508,1704907357.834,1,0x62a05452006a14ce624b8ff231669e5d675545048d2fc48bea2447ac60605af8,323749,8454229714,1.000,1
3509,1704907358.818,1,0x8352e47e260fed65a8121b37047ebd2ddca21736fc4d69b05058446ca550f29a,347620,9095051187,1.000,1
3510,1704907359.521,1,0x98490ac2258debe4ed0ab527b0d14eebf39acd1774c0aff9102311958f26fc39,323737,7204055322,1.000,1
3511,1704907360.223,1,0xf68b28b5991aec6be30c2dafff78075b23d1be7764cbf96c486e17a1dd6efe94,1352124,28975636073,1.000,10
3512,1704907361.052,1,0x778675005335f090dab3164c36e0debacf7dd5cd7628cae806f0ee96ad12b3dc,464298,44050988315,1.000,2
3513,1704907361.974,1,0x81b317576d1c8e7103d51784bcb82a7c413a39005c521bfbe3fb92011d3219f6,456583,20516862627,1.000,2
3514,1704907362.675,1,0x8e322af9867eeff3e156fce467db28ad3333531d0d9d7f5b3d442f2dca7aa46c,323935,23311130062,1.000,1
3515,1704907363.545,1,0x51378180e29c77de5ddda4616939601916c2d8f677b51a0449838476fb5161c3,347874,8797684829,1.000,1
3516,1704907364.45,1,0xb629250fa94456a5aa383cfee6aa8306edb3f189955afd111777a7a48bf387b8,340784,46442373416,1.000,1
3517,1704907365.359,1,0xc9df9dee5fe927c0f0406f27f94066bdf47c476e75e8935e4901460f9f879df0,347656,27638182467,1.000,1
3518,1704907366.355,1,0x0c04c7f33aa99f9f11b62aec802b71f6ff70478df33c63ef1d85be048b866d14,465209,29437290050,1.000,2
3519,1704907367.085,1,0x27e161c1a2fbbf26d5bbae184a7d2754bf938c3a6ea4b49e194b7c2863d9b342,340832,22494944507,1.000,1
3520,1704907367.794,1,0xa00cc7579278d8e95dd2455fddb6b854a66d53abdccce6b5a4e7d2887a0c00e8,587827,21157727401,1.000,3
3521,1704907368.506,1,0x192cdc5c42d7a485a58c1a435e6956d15e84f864b9ea58681801536f1093e845,340808,39676194706,1.000,1
3522,1704907369.582,1,0x52c78fc5e43b93940e5237afcc71c7b42418ceb8d95fae034c1510d7d57c42e9,347608,12002098921,1.000,1
3523,1704907370.341,1,0xc2da1368c52f260cadf1f54c5c1641a18987ae443e6688586b89b5c7aaff6b59,340808,18145051962,1.000,1
3524,1704907371.063,1,0x2082c0e21bd5e460f65633ce1fa61bb49b624e153ce53ee72b99e4558b00be5e,797187,26679404512,1.000,5
3525,1704907371.774,1,0xe7f45fd2c4e9c0e34cc6f40541b63d360e28382ec2a60ed9f5684e3d3adf88e0,323749,9297511531,1.000,1
3526,1704907372.757,1,0xfa55772a74a639218b24553a2060709a89fbe0a2cad03116e4598fc308fa89c3,629666,10847878960,1.000,3
3527,1704907373.667,1,0xb698a553e772816a62d4ed4ed729c22922d9458a8bf874d1c13b2612bf275116,455070,16434449830,1.000,2
3528,1704907374.571,1,0x52e178932366cd1f48effd9322b5a74c8715404b1a0f0a4a9bbf534233c39251,465533,53471348198,1.000,2
3529,1704907375.294,1,0x56ad7f478fec09b5ab6a417d447386fb8ec2faf58bde38d379daa0ede825d9a2,349549,19736937040,1.000,1
3530,1704907375.969,1,0x3d10082564cc31a9b404db41a4e369ed4dc030277c66c0aa2cafafc4e9804c7f,323749,21572780941,1.000,1
3531,1704907376.644,1,0x37593c5b3ff3a3c5779d11e1cffd5162e5dfad4bc6b150728e78968f5a82ca63,456437,9055084937,1.000,2
3532,1704907377.346,1,0x944bc2a266ee6e79591f83dc1dc73277ae2a2b98857969faae7a320cec6385f6,465641,23988396057,1.000,2
3533,1704907378.052,1,0x569d8e228d06c8abeeba738d658bfe0b63b85fad9c91d21d5b6610b8583e8cf4,323809,12257113263,1.000,1
3534,1704907378.847,1,0xda271c4d3c8bba9f289414d7b6b6be0613a08dc927a24faefa69ed330c1aa2a6,347680,27432254836,1.000,1
3535,1704907379.9,1,0xbe21bba5117a8c189e6344bf8319914a0d4b18bf7e1aac54f293e36311be66c5,574345,14376503275,1.000,3
3536,1704907380.638,1,0x8af3b9070c17bcb5f520e37f738b3dc579178cedb7dcbb7a6e99b006f56e6c51,1209194,12240921950,1.000,9
3537,1704907381.336,1,0xb1057e9e14497228d6206675819dc5fcba75e774dd8e15a55e605d6097d4fa3f,323955,31604420074,1.000,1
3538,1704907382.283,1,0x5319eb8785075ccbfbe2b732ff62b1b45d6f62e8b236887bb41a659591572c58,340796,43624366146,1.000,1
3539,1704907383.001,1,0x5036e5dc43bd2b9f1b7e7076f15c95f25d8e57e39802bb82c0a3a740aaea6ad0,347770,30245817986,1.000,1
3540,1704907383.713,1,0xd6398c39e4732ce473b9e952e3de2397efcbbeb90d04de2a51b50cb4f61ebb66,982017,31519643094,1.000,7
3541,1704907384.434,1,0xe9e9b0ad7d821ff380d879d31df546ca370ad2ee3f4e99a991ce19471620b588,461163,10961539972,1.000,2
3542,1704907385.411,1,0x78892d8dfb782312dcf19398e4fb4e31db40ef35d4d80c80105b3fe9fd756bab,631695,8971114178,1.000,3
3543,1704907386.449,1,0x9374dcf9d3ead778df6b1dd9fb017e5d722f7aacc4430d25cc4750a12fe8fa4e,801539,26962386350,1.000,5
3544,1704907387.149,1,0xbcfcc9ba6fbb73f69a7e1be7320b5fe9b09a18a482c7090fce8a92c116be430a,347834,36281417445,1.000,1
3545,1704907387.855,1,0x2f78d1a9f657a3a96b6d67706c847ac9057c59f83cf0d7148cdb74ccf5d3252e,323797,17898390541,1.000,1
3546,1704907388.562,1,0x97d07225ce8c4cb42e085f765943346eeae7561a61b6adebc8c80506eb881f5b,668536,5668062071,1.000,4
3547,1704907389.6,1,0x07689b54c7f8e3aa3617757ec811ef86688ddd5fb2df1095146864b736582f95,832740,13343151858,1.000,5
3548,1704907390.321,1,0x4c4abafcb817f020b8c18598ccb152b1db94ede0fb47a692ee353eab7d00c118,295695,14060370932,1.000,1
3549,1704907391.242,1,0xb464d99a07205f8e06cfad446876a7950d82d05ecdfa2eb829e570071b57ee3b,347862,19322712410,1.000,1
3550,1704907391.939,1,0xa3bc22930cc7cec1e535dcfc633667686e8c8815e0ce7ebfbe12849a7ea70119,1304625,9308657270,1.000,10
3551,1704907392.65,1,0x0e587d3621de71c228c5dc844df51534bfd8e5d2b1337fd230d90e8bbb47a181,347846,49611754144,1.000,1
3552,1704907393.35,1,0x67c910428a4661ea7f9b119b165ef304e3ccd84bd00dbe0252cf89d31a435f14,347878,13944664440,1.000,1
3553,1704907394.046,1,0x5ad235c1fdab99e61e523f6108416979622e790d2f3d369f4ddcea5a26980fd5,1095150,14537727539,1.000,8
3554,1704907394.734,1,0xaacbc3775228c8df0e5197f98165e1ecbdd9be4d14a7b8a535106e61e52b18a0,919874,31821164262,1.000,6
3555,1704907395.427,1,0xb8f344fcacba556365e5e7077b1a33b183e5f9dd808b14b29603921aa5916890,347680,38048386508,1.000,1
3556,1704907396.119,1,0x7fc67ef1a06a823fb55d9319306c9fdd6d58ce3bbbb9494d7bff39ebdbad2062,465383,25888045736,1.000,2
